labels,american,ani,anoth,ask,attack,author,becau,befor,black,case,charg,children,citi,come,commun,control,countri,court,crime,day,death,democrat,depart,did,dont,dure,elect,enforc,famili,feder,fight,govern,group,gun,ha,help,hi,high,home,hou,includ,investig,issu,just,kill,know,later,law,life,live,look,make,man,mani,matter,media,member,month,murder,nation,need,offic,offici,old,onli,peopl,person,place,point,polic,polit,presid,public,recent,report,republican,right,say,school,shooter,shot,sinc,state,student,support,thi,think,time,tri,trump,use,victim,violenc,want,way,week,weon,white,work,year
right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
right,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
right,1,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0
right,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,8,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
right,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,5,0,0,0
right,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0
right,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,2
right,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,4,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,8,0,0,0,0,9,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,3
right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
right,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,9,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
right,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1
right,0,0,0,0,0,0,1,1,0,0,0,3,2,0,1,0,0,1,0,0,1,0,1,0,0,2,0,2,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,6,2,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
right,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
right,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
right,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,1,1,1,0,0,0,0,1,0,0,0,8,0,0,1,9,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
right,0,1,0,2,9,4,6,10,0,3,5,0,2,0,1,1,1,6,3,4,1,0,1,1,0,0,0,3,3,14,0,1,2,30,3,0,26,7,3,0,4,3,0,5,14,0,0,17,2,0,1,0,2,1,1,2,1,2,3,1,1,1,2,2,1,6,2,2,1,18,1,1,0,3,2,1,1,1,7,1,1,0,4,1,1,1,0,4,1,0,12,1,1,0,0,1,8,0,0,8
right,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,9,8,0,0,0,1,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,1,1,0,0,0,0,0,0,2,0,1,0,13,1,3,0,0,4,0,1,1,1,0,0,0,1,0,2,2,0,0,1,1,2
right,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0
right,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,4,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
right,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,4,0,0,9,0,0,7,0,0,0,0,1,0,2,1,2,2,0,0,3,3,0,2,1,0,0,0,0,0,0,3,1,1,2,0,5,1,2,3,1,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,7,0,3,1,0,1,1,0,0,0,0,4,0,0,3
right,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2
right,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0
right,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,3,0,0,0,0,0,3,0,1,0,0,0,0,0,2,2,0,0,1,0,2,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,2,1,0,0,3,1,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,4
right,0,0,0,0,0,3,0,3,0,0,5,0,0,0,3,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,5,1,1,9,0,2,0,3,2,0,1,3,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,2,0,0,3,1,0,0,0,0,0,0,6
right,0,0,0,0,1,1,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,1,2,0,5,0,1,1,2,1,0,1,4,2,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,3,1,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,6,1,0,2,1,3,1,3,0,3,0,0,0,6,1,0,0,0,0,2,0,5
right,1,0,0,0,0,0,1,0,4,1,4,0,2,0,0,0,1,0,5,2,0,4,0,0,0,0,0,2,1,2,0,3,0,0,2,1,2,0,0,0,0,0,1,2,2,2,0,3,0,1,0,1,2,2,2,2,0,0,6,2,0,0,0,0,3,3,1,0,0,1,2,1,1,0,0,0,0,1,0,0,4,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,1,0
right,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,4,1,2,0,1,0,4,2,0,0,0,3,2,2
right,0,0,2,0,1,0,0,0,0,0,0,0,6,1,2,0,0,0,1,1,0,0,4,0,1,5,0,1,2,0,0,0,1,0,1,3,3,4,0,0,3,0,0,0,0,1,0,3,0,0,2,4,1,0,0,0,0,0,1,1,1,5,1,2,1,1,0,2,2,4,0,0,1,1,0,0,3,0,24,0,0,0,0,3,0,3,0,1,0,0,0,1,0,4,1,0,1,0,2,6
right,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,6,1,0,3,0,1,1,0,0,0,0,1,2,0,1,0,1,0,0,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,5,1,0,0,13,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,1,0,1,5,1,0,0,0,0,0,1,3
right,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,1,0,0,1,0,3,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,2,0,0,0,0,0,0,3,1,1,0,1,0,1,0,0,2,0,1,0,0,1,0,5,0,0,0,0,0,0,1
right,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,4,1,0,0,0,0,0,0,1,0,1,0,4,3,0,1,0,0,5,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,1,2,1,1,2,2,0,1,0,0,0,1,0,0,1,3,1,0,1,6,0,0,1,1,0,0,1,1,3,2
right,0,0,0,0,3,1,0,6,9,0,0,0,0,0,4,0,0,0,3,2,0,0,1,1,0,2,0,0,0,1,0,0,0,1,2,0,4,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,2,2,0,1,7,1,3,0,4,0,0,0,0,1,1,0,1,0,4,3,0,0,1,0,5,0,1,0,0,0,2,0,0,1,0,1,2,0,2
right,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,2,0,0,4,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1
right,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,4,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,0,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,2,0,0,0,0,1,1,0,1,0,0,0,1,0
right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,2,0,1,0,0,0,4,0,0,0,1,0,0,0,0
right,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,1,1,0,0,1,0,0,0,0,5,0,1,6,1,2,1,0,0,0,2,7,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,3,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5,0,1,0,0,3,0,2,4,0,1,0,0,3,1,0,0,0,1,4
right,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
right,1,0,3,2,2,1,2,0,0,0,0,3,4,1,0,0,0,0,0,2,0,0,8,3,0,3,0,11,3,2,0,0,1,0,2,1,8,1,0,8,4,9,2,0,2,0,1,11,1,1,3,3,0,1,0,0,2,1,0,0,1,9,3,1,4,1,2,1,1,23,0,0,2,0,22,0,0,2,28,9,0,0,4,3,1,3,0,4,0,0,2,5,1,0,1,0,0,0,1,2
right,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,7,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
right,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0
right,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,3,0,2,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,3,0,0,0,1,1,0,1,2,0,0
right,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,2,0,1,0,3,2,0,0,0,0,0,3,0,2,1,0,1,1,4,0,0,5,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,4,1,1,2,0,0,0,0,5,0,0,5,0,1,0,0,0,3,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1
right,0,1,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,1,4,0,0,2,0,0,0,0,1,2,0,13,0,6,0,3,2,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,1,0,0,1,0,0,0,0,6,0,0,2,0,1,2,0,3,0,0,1,2,0,0,0,0,3,0,0,0,0,1,0,0,5
right,0,1,6,1,0,0,0,5,1,0,1,1,4,4,0,3,0,3,0,7,0,0,0,3,1,3,0,0,3,0,0,1,0,5,7,0,24,0,3,1,1,0,0,6,5,5,2,0,3,3,1,0,2,2,0,1,0,1,4,1,1,1,1,4,2,4,1,0,0,3,2,1,0,0,1,0,1,3,0,0,3,2,3,0,0,1,1,7,2,0,3,7,0,1,1,0,1,0,1,11
right,0,1,1,0,0,1,2,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,7,1,1,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,2,0,1,0,0,4,0,0,0,7,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,2,0,1,1,0,0,4,0,1,0,0,0,1,0,0
right,4,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,14,0,0,0,1,2,0,0,0,0,2,3,0,0,0,0,3,0,1,0,0,1,5,1,0,1,0,0,0,1,1
right,0,0,0,0,0,0,1,3,1,0,0,2,1,1,2,0,1,0,0,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,3,0,0,8,8,2,2,0,0,2,0,1,0,2,0,0,1,2,0,0,1,1,0,0,0,9,0,1,1,2,0,0,0,0,1,0,2,0,2,0,1,0,2,0,1,2,1,6,0,0,3,3,0,0,0,2,0,0,3,4
right,0,1,1,1,1,2,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,2,0,3,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,1,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0,3,2,1,0,0,0,2,0,0,0,0,1,3,3,0,0,0,0,0,1,3
right,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,5,0,0,2,0,1,0,0,0,0,1,4,0,0,2,0,1,0,1,5,0,0,0,2,1,0,0,5,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,0,10,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,2,2
right,0,0,3,0,0,6,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,9,0,0,0,1,1,0,2,6,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,6,2,1,0,1,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,5
right,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
right,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,3,0,1,2,1,0,0,2,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,2,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,1,0,2,1
right,0,0,4,0,0,3,0,0,0,0,0,2,5,1,1,0,0,0,1,1,0,0,1,0,0,1,0,6,3,0,0,0,0,6,3,0,3,0,1,0,0,4,0,1,2,0,2,7,0,1,1,0,1,1,0,0,0,0,0,0,0,2,7,2,0,2,1,0,0,6,0,1,0,0,4,0,0,0,0,0,0,0,4,0,1,7,0,2,0,0,0,6,4,0,0,0,1,1,2,2
right,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
right,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,2,0,0,0,0,2,0,1,1,1,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0
right,3,2,1,0,4,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,3,0,0,2,0,0,0,2,2,1,0,15,0,1,1,1,1,1,0,3,1,0,1,0,1,2,1,0,0,0,0,1,6,0,0,0,1,3,0,0,5,0,0,0,0,0,1,0,1,3,0,0,5,0,0,2,0,1,0,0,3,0,2,0,0,1,2,0,2,1,0,0,1,2,0
right,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,2,0,4,0,1,1,10,2,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
right,0,0,1,2,0,3,0,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,7,0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,6,2,0,0,0,0,1,0,1,1,2,0,0,4,1,0,2,0,0,0,1,1,3,0,1,0,0,1,1,0,1,0,0,2,0,1,1,0,1,2,0,0,2,0,1,1,3,1
right,1,1,1,0,3,0,0,3,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,2,2,4,8,0,1,1,0,0,0,1,1,6,0,0,0,1,0,1,2,2,0,2,1,0,1,2,0,2,1,0,1,1,0,0,0,4,0,1,2,0,1,0,0,0,0,5,2,3,0,0,1,7,0,9,0,0,2,1,0,1,0,4,0,0,0,0
right,0,0,0,1,0,0,0,0,0,4,0,0,5,0,1,0,0,8,0,1,0,0,4,0,0,0,0,0,0,4,0,0,5,0,0,1,0,0,0,0,0,1,0,0,2,0,1,3,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
right,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
right,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,4,0,1,0,0,0,1,1,4,1,2,1,1,0,0,0,0,0,0,0,2,2,1,0,0,1,2,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,1,2
right,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,1,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,1,0
right,0,0,0,0,0,1,0,1,0,3,1,0,3,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,1,0,0,2,0,0,1,2,0,0,4,1,0,1,0,0,1,0,1,0,0,0,1,0,4,1,0,0,4,4,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,5,1,0,0,0,0,2,5,0,2,0,0,0,1,5
right,1,0,0,0,0,0,1,0,1,0,2,2,0,1,1,0,0,0,0,4,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,15,0,4,0,2,0,0,0,3,0,1,1,2,1,0,0,0,0,0,0,1,0,1,0,0,7,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,3,4
right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0
right,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,2,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
